时间,时间维度,南方电网,广东,广西,云南,海南,贵州,天生桥及龙滩,指标单位
2019-05-14,日,1209179.00000000,117065.00000000,96198.00000000,784700.00000000,8092.00000000,139081.00000000,64043.00000000,MWh
2019-05-15,日,1173598.00000000,112813.00000000,100691.00000000,765574.00000000,9371.00000000,117493.00000000,67656.00000000,MWh
2019-05-16,日,1157925.00000000,109896.00000000,106831.00000000,753165.00000000,8656.00000000,109532.00000000,69845.00000000,MWh
2019-05-17,日,1203429.00000000,110126.00000000,116265.00000000,787656.00000000,10038.00000000,111726.00000000,67618.00000000,MWh
2019-05-18,日,1200240.00000000,112879.00000000,106937.00000000,781049.00000000,11004.00000000,119387.00000000,68984.00000000,MWh
2019-05-19,日,1208492.00000000,112856.00000000,97023.00000000,803670.00000000,12325.00000000,124211.00000000,58407.00000000,MWh
2019-05-20,日,1193149.00000000,116628.00000000,81462.00000000,794191.00000000,12561.00000000,129197.00000000,59110.00000000,MWh
2019-05-21,日,1165245.00000000,115991.00000000,75844.00000000,766207.00000000,10208.00000000,140070.00000000,56925.00000000,MWh
2019-05-22,日,1128901.00000000,110298.00000000,78028.00000000,753943.00000000,8689.00000000,129141.00000000,48802.00000000,MWh
2019-05-23,日,1079086.00000000,111519.00000000,78909.00000000,703407.00000000,9854.00000000,129636.00000000,45761.00000000,MWh
2019-05-24,日,1048695.00000000,106344.00000000,86292.00000000,694659.00000000,8815.00000000,118269.00000000,34316.00000000,MWh
2019-05-25,日,1074339.00000000,123863.00000000,71367.00000000,700671.00000000,8844.00000000,133955.00000000,35639.00000000,MWh
2019-05-26,日,1070382.00000000,127802.00000000,79833.00000000,678505.00000000,10268.00000000,139111.00000000,34863.00000000,MWh
2019-05-27,日,1136646.00000000,135547.00000000,84596.00000000,705636.00000000,10978.00000000,150089.00000000,49800.00000000,MWh
2019-05-28,日,1219457.00000000,140554.00000000,112144.00000000,715796.00000000,10095.00000000,203757.00000000,37111.00000000,MWh
2019-05-29,日,1218008.00000000,135538.00000000,127731.00000000,711680.00000000,7338.00000000,201521.00000000,34200.00000000,MWh
2019-05-30,日,1210314.00000000,139173.00000000,122770.00000000,712399.00000000,7823.00000000,199200.00000000,28949.00000000,MWh
2019-05-31,日,1248129.00000000,140585.00000000,119166.00000000,734994.00000000,8985.00000000,211863.00000000,32536.00000000,MWh
2019-06-01,日,1228064.00000000,140601.00000000,119866.00000000,736293.00000000,7529.00000000,185580.00000000,38195.00000000,MWh
2019-06-02,日,1224991.00000000,146955.00000000,112523.00000000,735099.00000000,7124.00000000,183870.00000000,39420.00000000,MWh
2019-06-03,日,1267734.00000000,145285.00000000,116673.00000000,755762.00000000,7282.00000000,203128.00000000,39604.00000000,MWh
2019-06-04,日,1264443.00000000,138975.00000000,113103.00000000,752838.00000000,7645.00000000,209189.00000000,42693.00000000,MWh
2019-06-05,日,1187582.00000000,140343.00000000,107488.00000000,687773.00000000,7192.00000000,205820.00000000,38966.00000000,MWh
2019-06-06,日,1248147.00000000,142823.00000000,129716.00000000,700805.00000000,6229.00000000,226463.00000000,42111.00000000,MWh
2019-06-07,日,1142323.00000000,136981.00000000,135870.00000000,619825.00000000,5970.00000000,212694.00000000,30983.00000000,MWh
2019-06-08,日,1180572.00000000,138845.00000000,134118.00000000,625176.00000000,5910.00000000,221732.00000000,54791.00000000,MWh
2019-06-09,日,1212125.00000000,142735.00000000,133618.00000000,651937.00000000,6726.00000000,226003.00000000,51106.00000000,MWh
2019-06-10,日,1169455.00000000,135549.00000000,117434.00000000,660138.00000000,6311.00000000,236028.00000000,13995.00000000,MWh
2019-06-11,日,1152680.00000000,123838.00000000,115773.00000000,613941.00000000,6837.00000000,241513.00000000,50778.00000000,MWh
2019-06-12,日,1189722.00000000,132060.00000000,125349.00000000,619912.00000000,8149.00000000,251506.00000000,52746.00000000,MWh
2019-06-13,日,1235499.00000000,125491.00000000,119929.00000000,651291.00000000,8707.00000000,273186.00000000,56895.00000000,MWh
2019-06-14,日,1245522.00000000,127409.00000000,132660.00000000,648005.00000000,6631.00000000,270786.00000000,60031.00000000,MWh
2019-06-15,日,2122721.00000000,137934.00000000,1034310.00000000,620997.00000000,4577.00000000,262981.00000000,61922.00000000,MWh
2019-06-16,日,1277360.00000000,142522.00000000,138713.00000000,650814.00000000,4385.00000000,273973.00000000,66953.00000000,MWh
2019-06-17,日,1303601.00000000,145413.00000000,145674.00000000,681632.00000000,4644.00000000,259807.00000000,66431.00000000,MWh
2019-06-18,日,1364680.00000000,148286.00000000,146065.00000000,698629.00000000,5368.00000000,287979.00000000,78353.00000000,MWh
2019-06-19,日,1347468.00000000,147228.00000000,149010.00000000,670807.00000000,5748.00000000,293043.00000000,81632.00000000,MWh
2019-06-20,日,1358747.00000000,146128.00000000,152625.00000000,677908.00000000,6565.00000000,294542.00000000,80979.00000000,MWh
2019-06-21,日,1421517.00000000,142022.00000000,156673.00000000,749385.00000000,8455.00000000,294358.00000000,70624.00000000,MWh
2019-06-22,日,1432883.00000000,144209.00000000,157258.00000000,755977.00000000,8219.00000000,295605.00000000,71615.00000000,MWh
2019-06-23,日,1364305.00000000,99472.00000000,149898.00000000,762451.00000000,6164.00000000,281517.00000000,64803.00000000,MWh
2019-06-24,日,1407454.00000000,140915.00000000,134868.00000000,760830.00000000,5993.00000000,313693.00000000,51155.00000000,MWh
2019-06-25,日,1395341.00000000,139398.00000000,139996.00000000,748731.00000000,5613.00000000,301587.00000000,60016.00000000,MWh
2019-06-26,日,1394143.00000000,141090.00000000,143821.00000000,741205.00000000,5726.00000000,293668.00000000,68633.00000000,MWh
2019-06-27,日,1428577.00000000,139800.00000000,148387.00000000,770937.00000000,6679.00000000,280128.00000000,82646.00000000,MWh
2019-06-28,日,1548122.00000000,126902.00000000,153085.00000000,876224.00000000,7506.00000000,286611.00000000,97794.00000000,MWh
2019-06-29,日,1551406.00000000,135469.00000000,158923.00000000,888925.00000000,7194.00000000,273460.00000000,87435.00000000,MWh
2019-06-30,日,1508266.00000000,131742.00000000,159282.00000000,864515.00000000,4704.00000000,271958.00000000,76065.00000000,MWh
2019-07-01,日,1559763.00000000,123986.00000000,144182.00000000,912058.00000000,4731.00000000,287191.00000000,87615.00000000,MWh
2019-07-02,日,1580467.00000000,125278.00000000,144390.00000000,922869.00000000,5524.00000000,279186.00000000,103220.00000000,MWh
2019-07-03,日,1571143.00000000,137321.00000000,147583.00000000,898333.00000000,7161.00000000,272851.00000000,107894.00000000,MWh
2019-07-04,日,1521962.00000000,141626.00000000,155442.00000000,849059.00000000,8483.00000000,268773.00000000,98579.00000000,MWh
2019-07-05,日,1538356.00000000,138917.00000000,158184.00000000,855817.00000000,8040.00000000,271055.00000000,106343.00000000,MWh
2019-07-06,日,1512004.00000000,135379.00000000,159200.00000000,840342.00000000,7452.00000000,257485.00000000,112146.00000000,MWh
