时间,时间维度,南方电网,广东,广西,云南,海南,贵州,广州,深圳,指标单位
2021-01-22,日,3401746.00000000,1803273.00000000,464109.00000000,582783.00000000,81646.00000000,468372.00000000,237189.00000000,248363.00000000,MWh
2021-01-23,日,3320082.00000000,1746898.00000000,449747.00000000,577235.00000000,80964.00000000,458663.00000000,227588.00000000,239914.00000000,MWh
2021-01-24,日,3192121.00000000,1638365.00000000,446921.00000000,571346.00000000,79621.00000000,451517.00000000,214296.00000000,223400.00000000,MWh
2021-01-25,日,3254891.00000000,1700264.00000000,436917.00000000,567204.00000000,80057.00000000,468229.00000000,224408.00000000,238762.00000000,MWh
2021-01-26,日,3240060.00000000,1683253.00000000,443598.00000000,557945.00000000,78740.00000000,474444.00000000,223841.00000000,240794.00000000,MWh
2021-01-27,日,3220359.00000000,1639162.00000000,439583.00000000,566265.00000000,78781.00000000,481683.00000000,219263.00000000,235668.00000000,MWh
2021-01-28,日,3179509.00000000,1618042.00000000,426513.00000000,574772.00000000,78930.00000000,469105.00000000,216425.00000000,228990.00000000,MWh
2021-01-29,日,3142490.00000000,1581101.00000000,433793.00000000,563860.00000000,77626.00000000,472060.00000000,212342.00000000,225378.00000000,MWh
2021-01-30,日,3078901.00000000,1531291.00000000,430085.00000000,560080.00000000,77927.00000000,465576.00000000,202537.00000000,215992.00000000,MWh
2021-01-31,日,2916336.00000000,1401071.00000000,410161.00000000,550586.00000000,77482.00000000,461987.00000000,190283.00000000,198946.00000000,MWh
2021-02-01,日,2935067.00000000,1432948.00000000,411701.00000000,545726.00000000,78010.00000000,453400.00000000,199221.00000000,209056.00000000,MWh
2021-02-02,日,2908950.00000000,1420021.00000000,405578.00000000,538568.00000000,76818.00000000,454738.00000000,201543.00000000,209907.00000000,MWh
2021-02-03,日,2839321.00000000,1375714.00000000,396699.00000000,534480.00000000,77107.00000000,442550.00000000,197107.00000000,203037.00000000,MWh
2021-02-04,日,2759672.00000000,1335622.00000000,382800.00000000,524201.00000000,75567.00000000,434583.00000000,193137.00000000,196127.00000000,MWh
2021-02-05,日,2565215.00000000,1274479.00000000,376397.00000000,520664.00000000,76098.00000000,306324.00000000,187719.00000000,187866.00000000,MWh
2021-02-06,日,2560397.00000000,1184006.00000000,367379.00000000,515977.00000000,75445.00000000,406034.00000000,176413.00000000,172233.00000000,MWh
2021-02-07,日,2502012.00000000,1125884.00000000,360291.00000000,518994.00000000,74925.00000000,411841.00000000,169199.00000000,165780.00000000,MWh
2021-02-08,日,2462826.00000000,1094691.00000000,343995.00000000,527009.00000000,74727.00000000,411637.00000000,163484.00000000,161357.00000000,MWh
2021-02-09,日,2386763.00000000,1049793.00000000,330921.00000000,515290.00000000,71455.00000000,407285.00000000,156168.00000000,152253.00000000,MWh
2021-02-10,日,2245327.00000000,979969.00000000,309898.00000000,496188.00000000,68426.00000000,381975.00000000,146216.00000000,140618.00000000,MWh
