时间,时间维度,南方电网,广东,广西,云南,广州,深圳,海南,贵州,指标单位
2021-07-12,日,213902.00000000,131957.00000000,29704.00000000,27116.00000000,19515.00000000,19820.00000000,5403.00000000,20463.00000000,MWh
2021-07-13,日,216188.00000000,132830.00000000,30185.00000000,27284.00000000,19538.00000000,19982.00000000,5575.00000000,20767.00000000,MWh
2021-07-14,日,212002.00000000,133741.00000000,29029.00000000,25504.00000000,19600.00000000,19962.00000000,5663.00000000,20483.00000000,MWh
2021-07-15,日,209881.00000000,132675.00000000,28232.00000000,24368.00000000,19645.00000000,19811.00000000,5631.00000000,20697.00000000,MWh
2021-07-16,日,205851.00000000,128562.00000000,28032.00000000,24194.00000000,18882.00000000,19111.00000000,5462.00000000,20515.00000000,MWh
2021-07-17,日,193633.00000000,119773.00000000,27288.00000000,23299.00000000,16873.00000000,17269.00000000,5467.00000000,19489.00000000,MWh
2021-07-18,日,181015.00000000,109132.00000000,26926.00000000,22963.00000000,15824.00000000,14729.00000000,5365.00000000,19957.00000000,MWh
2021-07-19,日,195590.00000000,120743.00000000,26156.00000000,23005.00000000,17954.00000000,17318.00000000,5610.00000000,20460.00000000,MWh
2021-07-20,日,191252.00000000,116675.00000000,26464.00000000,23022.00000000,17167.00000000,16108.00000000,5415.00000000,20374.00000000,MWh
2021-07-21,日,189015.00000000,114269.00000000,25540.00000000,23809.00000000,16613.00000000,16416.00000000,5073.00000000,20518.00000000,MWh
2021-07-22,日,195414.00000000,121565.00000000,25258.00000000,23979.00000000,17695.00000000,18169.00000000,4898.00000000,20577.00000000,MWh
2021-07-23,日,204696.00000000,128417.00000000,27116.00000000,23845.00000000,18748.00000000,19381.00000000,4935.00000000,20549.00000000,MWh
2021-07-24,日,200930.00000000,127514.00000000,27258.00000000,24058.00000000,18606.00000000,18376.00000000,4870.00000000,20401.00000000,MWh
2021-07-25,日,187635.00000000,116869.00000000,26733.00000000,23184.00000000,17809.00000000,15765.00000000,4892.00000000,20270.00000000,MWh
2021-07-26,日,208800.00000000,133083.00000000,27661.00000000,23920.00000000,20035.00000000,19793.00000000,5163.00000000,20760.00000000,MWh
